id;location;description;price;availability_status;property_size;type
1;tandis que;bang patientèle euh;22472.56;ressentir;31958;fabriquer présidence corps enseignant
2;que svelte;plic convenir;31068.42;assez;27956;pis raide au prix de
3;toc corps enseignant déposer;constituer;9330.59;concernant pour que;27217;jeune enfant
4;émérite gouverner retirer;svelte;3984.25;groin groin parce que;703;hebdomadaire
5;infime à même autour;faire;731.63;triathlète euh;23339;présidence
6;joliment guide chef;gestionnaire;20661.9;en outre de tant près;16977;conseil municipal calmer horrible
7;sans que électorat hors de;hi clientèle;5796.3;rose gens;30914;proche quand à condition que
8;d'entre;de crainte que drôlement camarade;27551.25;si bien que de manière à ce que;17248;en dehors de personnel jeune enfant
9;démontrer égoïste;en dehors de amorcer;5134.21;pin-pon;23448;quoique arrière
10;cyan ouah aïe;à condition que antagoniste commissionnaire;20167.13;d’autant que encore;17457;d'entre après que
