id;start_date;end_date;status;price
1;2024-06-11T18:01:47;2024-06-11T13:28:35;consentir où autour;17117.46
2;2024-06-11T20:12:51;2024-06-11T22:26:42;ouin croâ;1558.31
3;2024-06-11T11:26:56;2024-06-12T05:12:15;extrêmement coin-coin quoique;10527.58
4;2024-06-12T00:30:23;2024-06-11T22:47:00;envers exprimer;6963.23
5;2024-06-11T18:57:28;2024-06-11T16:20:05;hirsute ronron;2182.11
6;2024-06-11T13:28:22;2024-06-12T03:05:32;à bas de ouf;25747.45
7;2024-06-11T11:27:36;2024-06-12T01:50:09;alors chef de cuisine autour de;22762.59
8;2024-06-11T09:47:00;2024-06-12T06:49:03;effacer sans doute mairie;4318.79
9;2024-06-12T03:07:09;2024-06-11T11:42:31;triangulaire;2133.97
10;2024-06-11T16:27:07;2024-06-12T03:07:36;bof;1459.43
